Epoch,Train Loss,Validation Accuracy
1,0.6907261,0.5555098684210527
2,0.7016307,0.5575657894736842
3,0.6539192,0.5851151315789473
4,0.60295063,0.5879934210526315
5,0.59065235,0.5879934210526315
6,0.5587623,0.6373355263157895
7,0.5493409,0.6883223684210527
8,0.4689977,0.7294407894736842
9,0.5313491,0.6800986842105263
10,0.58871317,0.7364309210526315
11,0.5426858,0.7537006578947368
12,0.43203208,0.7405427631578947
13,0.47522947,0.787828947368421
14,0.5364587,0.7775493421052632
15,0.47207838,0.7952302631578947
16,0.434571,0.8067434210526315
17,0.6225258,0.7993421052631579
18,0.32019532,0.8030427631578947
19,0.35745573,0.8256578947368421
20,0.3454244,0.8556743421052632
21,0.4021558,0.7101151315789473
22,0.23642057,0.8585526315789473
23,0.3057061,0.860608552631579
24,0.23426692,0.8782894736842105
25,0.2328841,0.8470394736842105
26,0.23837805,0.8540296052631579
27,0.18214683,0.8721217105263158
28,0.31681392,0.8704769736842105
29,0.08879449,0.8861019736842105
30,0.20365912,0.8852796052631579
31,0.17396952,0.8618421052631579
32,0.11799516,0.868421052631579
33,0.078209125,0.9083059210526315
34,0.136022,0.891858552631579
35,0.11975556,0.90625
36,0.043574847,0.9124177631578947
37,0.03780276,0.8980263157894737
38,0.11796279,0.9111842105263158
39,0.023999976,0.9144736842105263
40,0.19708738,0.9009046052631579
41,0.056675326,0.8967927631578947
42,0.049263477,0.9111842105263158
43,0.059009384,0.9078947368421053
44,0.024873575,0.9083059210526315
45,0.05267091,0.915296052631579
46,0.03068487,0.9132401315789473
47,0.012124132,0.9177631578947368
48,0.06781635,0.9070723684210527
49,0.001434859,0.9173519736842105
50,0.09636274,0.9124177631578947
51,0.014920711,0.8967927631578947
52,0.010131667,0.9140625
53,0.005200079,0.9169407894736842
54,0.0013893127,0.9165296052631579
55,0.00055254565,0.905016447368421
56,0.04910156,0.9087171052631579
57,0.018669488,0.923108552631579
58,0.02086948,0.9157072368421053
59,0.056146745,0.9177631578947368
60,0.009799746,0.8963815789473685
61,0.0022411384,0.9140625
62,0.0125005655,0.9165296052631579
63,0.002234342,0.9177631578947368
64,0.031390417,0.9058388157894737
65,0.0005823524,0.9185855263157895
66,0.00044661653,0.9173519736842105
67,0.009229627,0.9181743421052632
68,0.01099278,0.9120065789473685
69,0.0049600704,0.9054276315789473
70,0.003167265,0.9202302631578947
71,0.00013688812,0.928453947368421
72,0.0007076134,0.890625
73,0.0004930965,0.9235197368421053
74,0.0018833707,0.9046052631578947
75,0.021437347,0.9103618421052632
76,0.0018395532,0.9181743421052632
77,0.00031542216,0.9251644736842105
78,0.01398879,0.9173519736842105
79,0.0013626192,0.9210526315789473
80,9.31648e-05,0.9189967105263158
81,0.0004372031,0.9210526315789473
82,0.00028036349,0.9157072368421053
83,0.00042694606,0.9136513157894737
84,0.00035463096,0.9198190789473685
85,0.0005657087,0.915296052631579
86,0.00041786415,0.9247532894736842
87,0.010329877,0.9140625
88,0.13084628,0.9120065789473685
89,0.001975001,0.9148848684210527
90,3.9809827e-05,0.9189967105263158
91,0.0033851452,0.9189967105263158
92,0.0002048174,0.9181743421052632
93,0.0003375569,0.9247532894736842
94,0.00023431957,0.9247532894736842
95,0.0002218769,0.9305098684210527
96,1.6492719e-05,0.9239309210526315
97,0.0012338453,0.9263980263157895
98,0.0020768386,0.9148848684210527
99,0.0010870204,0.9189967105263158
100,0.004401605,0.9202302631578947
101,0.035129245,0.9239309210526315
102,3.220681e-06,0.9305098684210527
103,0.032334883,0.9222861842105263
104,0.003587675,0.9280427631578947
105,2.3376683e-06,0.9255756578947368
106,2.271122e-05,0.9185855263157895
107,0.029335178,0.9173519736842105
108,0.0039391695,0.920641447368421
109,0.0009347114,0.9210526315789473
110,0.007514106,0.907483552631579
111,0.00046420994,0.9288651315789473
112,9.0206726e-05,0.9177631578947368
113,0.0005709269,0.9181743421052632
114,0.0006681647,0.9214638157894737
115,0.0028463278,0.928453947368421
116,0.00023640784,0.9280427631578947
117,7.6941185e-05,0.9276315789473685
118,5.637037e-05,0.9243421052631579
119,0.0023259355,0.9124177631578947
120,7.776827e-06,0.9103618421052632
121,2.6804057e-06,0.921875
122,0.00010041721,0.9247532894736842
123,3.4497155e-06,0.9292763157894737
124,1.10961155e-05,0.9243421052631579
125,8.7690096e-05,0.9288651315789473
126,5.215476e-07,0.9288651315789473
127,4.9121314e-05,0.9214638157894737
128,0.0001549135,0.9181743421052632
129,0.009407841,0.9251644736842105
130,1.0356396e-06,0.9210526315789473
131,5.0849834e-05,0.9255756578947368
132,0.0010429231,0.9305098684210527
133,0.00077168545,0.9317434210526315
134,0.00015858779,0.9222861842105263
135,3.9489496e-05,0.9226973684210527
136,0.055136222,0.9157072368421053
137,6.2040875e-05,0.9235197368421053
138,8.0689075e-05,0.9189967105263158
139,4.2979464e-05,0.9263980263157895
140,5.06052e-06,0.9239309210526315
141,0.00042895766,0.9095394736842105
142,0.00015156464,0.9255756578947368
143,0.0019057527,0.9157072368421053
144,6.362886e-05,0.9214638157894737
145,9.072736e-05,0.9259868421052632
146,0.00025616307,0.9255756578947368
147,6.9567795e-05,0.9263980263157895
148,3.7459747e-06,0.9292763157894737
149,8.937508e-06,0.9222861842105263
