Epoch,Train Loss,Validation Accuracy
1,0.6852202,0.5020559210526315
2,0.6896984,0.4995888157894737
3,0.68750036,0.4967105263157895
4,0.6940922,0.501233552631579
5,0.69114804,0.5016447368421053
6,0.6960149,0.5028782894736842
7,0.6942592,0.4987664473684211
8,0.6958962,0.5008223684210527
9,0.67771685,0.5016447368421053
10,0.6966558,0.501233552631579
11,0.6890395,0.5008223684210527
12,0.6922913,0.5037006578947368
13,0.68957293,0.49835526315789475
14,0.6966389,0.4987664473684211
15,0.6958811,0.5004111842105263
16,0.6961525,0.5004111842105263
17,0.6914319,0.501233552631579
