Epoch,Train Loss,Validation Accuracy
1,0.6893728,0.5242598684210527
2,0.67013043,0.5016447368421053
3,0.65617865,0.5460526315789473
4,0.6922308,0.5407072368421053
5,0.6918504,0.5522203947368421
6,0.68614477,0.5032894736842105
7,0.68091017,0.5004111842105263
8,0.6726605,0.5592105263157895
9,0.71896446,0.5472861842105263
10,0.71559924,0.501233552631579
11,0.6943824,0.5538651315789473
12,0.66746414,0.5575657894736842
13,0.67406,0.5497532894736842
14,0.7076139,0.5575657894736842
15,0.66061246,0.5625
16,0.6880581,0.5185032894736842
17,0.66228086,0.561266447368421
18,0.6623746,0.548108552631579
19,0.68599975,0.563733552631579
20,0.67475116,0.5662006578947368
21,0.7201134,0.5645559210526315
22,0.6853249,0.5604440789473685
23,0.6833216,0.5703125
24,0.7135118,0.6295230263157895
25,0.67119336,0.6291118421052632
