Epoch,Train Loss,Validation Accuracy
1,0.6687097,0.6307565789473685
2,0.57176316,0.673108552631579
3,0.4878642,0.7273848684210527
4,0.58285946,0.6792763157894737
5,0.33205327,0.8145559210526315
6,0.26375705,0.828125
7,0.29127026,0.8079769736842105
8,0.41779274,0.8638980263157895
9,0.3625443,0.8869243421052632
10,0.21880005,0.8992598684210527
11,0.08794356,0.9070723684210527
12,0.17339276,0.9029605263157895
13,0.21984144,0.8898026315789473
14,0.10307865,0.9169407894736842
15,0.13957125,0.9259868421052632
16,0.060265485,0.9189967105263158
17,0.020701474,0.9321546052631579
18,0.049453072,0.923108552631579
19,0.054869644,0.8910361842105263
20,0.054933436,0.9161184210526315
21,0.017957775,0.9337993421052632
22,0.09936535,0.8733552631578947
23,0.035338342,0.9198190789473685
24,0.014053065,0.9296875
25,0.07076741,0.9243421052631579
26,0.054767296,0.9259868421052632
27,0.057456367,0.9222861842105263
28,0.04929306,0.9366776315789473
29,0.0586634,0.9399671052631579
30,0.0058811475,0.9436677631578947
31,0.016556859,0.9370888157894737
32,0.023719871,0.9268092105263158
33,0.06316008,0.9021381578947368
34,0.0078030126,0.9379111842105263
35,0.011955233,0.9350328947368421
36,0.0079137245,0.930921052631579
37,0.035607018,0.9358552631578947
38,0.020587584,0.9395559210526315
39,0.005231962,0.9148848684210527
40,0.12705685,0.9185855263157895
41,0.0030885679,0.9424342105263158
42,0.00012318426,0.9189967105263158
43,0.0035964767,0.936266447368421
44,0.020241216,0.9346217105263158
45,0.038163558,0.9453125
46,0.013489958,0.9403782894736842
47,0.0016546347,0.9375
48,0.0005551737,0.9469572368421053
49,0.0033290503,0.9383223684210527
50,0.0015010791,0.944078947368421
51,0.006897986,0.9444901315789473
52,0.00314855,0.946546052631579
53,0.0010525092,0.9399671052631579
54,0.00065398065,0.9370888157894737
55,0.0034407545,0.9403782894736842
56,0.00015803963,0.9407894736842105
57,0.029674562,0.9416118421052632
58,0.012965529,0.9346217105263158
59,0.013211245,0.9358552631578947
60,0.00018768848,0.9477796052631579
61,0.00024772366,0.9407894736842105
62,0.05539409,0.9375
63,0.0015231252,0.9395559210526315
64,0.016756805,0.9412006578947368
65,4.6544945e-05,0.9469572368421053
66,0.0003308335,0.9490131578947368
67,0.0008345036,0.9494243421052632
68,0.00374394,0.9457236842105263
69,0.015657814,0.944078947368421
70,0.001008962,0.9506578947368421
71,0.002347129,0.9354440789473685
72,0.0074024284,0.9444901315789473
73,0.03905508,0.9424342105263158
74,7.804581e-05,0.9337993421052632
75,0.0020333147,0.9379111842105263
76,2.394632e-05,0.9461348684210527
77,0.010063762,0.9481907894736842
78,0.0014224383,0.9494243421052632
79,0.006097497,0.9317434210526315
80,0.00019914593,0.9453125
81,0.0005677495,0.9399671052631579
82,0.057449512,0.936266447368421
83,0.00036304691,0.9329769736842105
84,0.013331221,0.9486019736842105
85,0.00214973,0.9461348684210527
86,0.0010980434,0.936266447368421
87,0.0015092992,0.9477796052631579
88,4.500773e-05,0.951891447368421
89,0.005563987,0.9358552631578947
90,0.00059452653,0.951891447368421
91,9.488376e-05,0.9539473684210527
92,1.6715829e-05,0.9502467105263158
93,0.006692029,0.9210526315789473
94,0.015975233,0.944078947368421
95,0.0010415675,0.9292763157894737
96,0.00069955864,0.9428453947368421
97,1.9332057e-05,0.951891447368421
98,4.1121533e-05,0.9486019736842105
99,0.008843279,0.9313322368421053
100,0.0005669489,0.9461348684210527
101,0.001886278,0.9490131578947368
102,0.0014109039,0.9157072368421053
103,0.0021208564,0.9375
104,0.00069451204,0.9436677631578947
105,0.00013084851,0.9424342105263158
106,0.0012741,0.9477796052631579
107,0.0031426104,0.9428453947368421
108,0.0012776051,0.9329769736842105
109,0.0029820497,0.9235197368421053
110,0.0005455898,0.9412006578947368
111,0.00014863208,0.9444901315789473
112,0.002887428,0.938733552631579
113,0.0032233999,0.9453125
114,0.0009643732,0.9383223684210527
115,8.007281e-05,0.9490131578947368
116,0.00021653071,0.9481907894736842
117,0.0005437469,0.9523026315789473
118,3.4975776e-05,0.9453125
119,0.019302165,0.9395559210526315
120,0.00022191762,0.9428453947368421
121,2.8684843e-07,0.9494243421052632
122,0.00013011823,0.936266447368421
123,8.257746e-05,0.9420230263157895
124,0.0006948568,0.9449013157894737
125,1.0226041e-06,0.9481907894736842
126,1.851927e-05,0.9498355263157895
127,3.137694e-05,0.9523026315789473
128,7.0834e-06,0.9514802631578947
129,0.0020669529,0.9436677631578947
130,4.777633e-05,0.9469572368421053
131,0.0015460481,0.9436677631578947
132,0.00041841133,0.9416118421052632
133,1.1224098e-05,0.954358552631579
134,2.8984537e-06,0.9523026315789473
135,0.0033648151,0.9379111842105263
136,0.00030117953,0.9407894736842105
137,0.00012489926,0.9481907894736842
138,0.00017455098,0.9412006578947368
139,0.0013218162,0.9346217105263158
140,0.018642576,0.9383223684210527
141,0.00057305826,0.9514802631578947
142,2.0350295e-05,0.9490131578947368
143,0.00020590797,0.9498355263157895
144,0.00015355348,0.9444901315789473
145,0.0009409499,0.9486019736842105
146,0.00027812965,0.9481907894736842
147,9.988751e-06,0.9481907894736842
148,0.000882506,0.9490131578947368
149,0.031567924,0.938733552631579
150,0.0014652215,0.9494243421052632
151,0.00019715365,0.951891447368421
152,4.382966e-06,0.9502467105263158
153,2.0660189e-05,0.9535361842105263
154,8.204523e-05,0.9539473684210527
155,0.023643762,0.930921052631579
